County,Pop_18_24,Pop_18_24_Less_than_HS_grad,Pop_18_24_HS_grad_includes_equivalency,Pop_18_24_Some_college_or_associates_degree,Pop_18_24_Bachelors_degree_or_higher,Pop_25_over,Pop_25_over_Less_than_9th_grade,Pop_25_over_9th_to_12th_grade_no_diploma,Pop_25_over_HS_grad_includes_equivalency,Pop_25_over_Some_college_no_degree,Pop_25_over_Associates_degree,Pop_25_over_Bachelors_degree,Pop_25_over_Graduate_or_professional_degree,Pop_25_over_HS_grad_or_higher,Pop_25_over_Bachelors_degree_or_higher,White_alone,White_alone_not_Hispanic_or_Latino,Black_alone,American_Indian_or_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races,Hispanic_or_Latino_Origin,MEDIAN_EARNINGS_2022_25_over,MEDIAN_EARNINGS_2022_25_over_Less_than_HS_grad,MEDIAN_EARNINGS_2022_25_over_HS_grad_includes_equivalency,MEDIAN_EARNINGS_2022_25_over_Some_college_or_associates_degree,MEDIAN_EARNINGS_2022_25_over_Bachelors_degree,MEDIAN_EARNINGS_2022_25_over_Graduate_or_professional_degree
Adams,2140,386,1042,489,223,11258,2448,821,3527,2057,748,1018,639,7989,1657,6581,4797,38,293,90,84,2917,1255,5975,34613,26596,31268,41966,61010,92198
Asotin,1693,393,614,467,219,16165,249,881,5066,4135,2100,2321,1413,15035,3734,14998,14816,65,144,160,0,256,542,457,38505,25574,33200,37928,47500,87500
Benton,18047,2958,7381,5951,1757,134954,6917,6445,31381,32007,14562,26629,17013,121592,43642,108379,100388,1981,987,4424,322,9275,9586,23434,52136,31139,39750,48973,74767,90374
Chelan,6524,961,2257,2721,585,54434,4424,3522,13438,11533,5441,10471,5605,46488,16076,42148,40692,113,532,479,32,7757,3373,11297,43738,32131,39888,42829,58587,86434
Clallam,4645,760,1744,1990,151,59865,1254,2965,14509,15733,6952,10921,7531,55646,18452,51915,50775,483,1809,1037,14,1017,3590,2877,41532,32835,34408,38384,50368,76875
Clark,41959,6311,16526,15332,3790,345411,8096,16221,86080,86583,37244,70887,40300,321094,111187,285484,275342,6885,2090,17502,2227,9035,22188,26525,54729,36074,44267,49790,70774,88641
Columbia,267,19,94,154,0,3021,97,209,608,887,415,483,322,2715,805,2548,2548,1,16,2,0,143,311,183,50353,33351,47292,49226,64250,72396
Cowlitz,8554,1281,3484,3455,334,77072,2547,5109,24528,22290,9809,8679,4110,69416,12789,68310,66046,529,929,1109,220,1355,4620,5085,47154,34118,38838,50291,63523,65257
Douglas,3646,604,1408,1306,328,28706,2864,2364,7933,6658,2650,4466,1771,23478,6237,20643,19951,105,252,293,69,5635,1709,7229,42615,32018,37948,46648,69365,86250
Ferry,459,126,246,80,7,5559,118,359,1771,1613,691,644,363,5082,1007,4312,4254,12,736,27,57,39,376,82,31390,21036,25405,29066,46691,87973
Franklin,9925,2166,3658,3661,440,56267,8363,5227,14608,11631,5163,6915,4360,42677,11275,34635,26463,1056,950,1381,145,10947,7153,25352,45319,33134,39537,50526,71031,89821
Garfield,164,25,65,57,17,1696,28,93,415,461,241,269,189,1575,458,1572,1558,4,1,32,0,16,71,36,41820,40000,50893,35278,NA,65650
Grant,9782,1509,4682,2948,643,60723,6654,5230,17326,14657,6127,7832,2897,48839,10729,40829,36290,491,992,777,6,11983,5645,20563,43381,31658,38871,46534,67168,74128
Grays Harbor,5285,993,2546,1385,361,55194,1905,3584,19482,14217,6525,6104,3377,49705,9481,47277,45595,826,1913,695,253,976,3254,3743,39843,32832,33227,41418,58397,78537
Island,7433,900,3345,2793,395,63659,804,1961,13752,17162,7470,13324,9186,60894,22510,53724,52083,1483,536,3165,228,1035,3488,3977,50111,38163,43818,46747,63134,66875
Jefferson,1328,195,625,381,127,27822,164,656,5729,6843,2339,6616,5475,27002,12091,24657,24252,125,365,443,22,615,1595,963,36638,29139,41555,30815,36906,57422
King,186414,20964,48398,72507,44545,1622636,51587,49162,238296,267988,125654,519110,370839,1521887,889949,1015651,978534,95279,9427,321565,10495,59623,110596,129780,71082,36510,44236,52272,87204,116347
Kitsap,26040,3030,11617,9503,1890,194382,2872,6372,41545,51947,22972,44914,23760,185138,68674,157537,153128,4653,1912,10688,1728,4124,13740,12594,55870,34085,44077,50939,71607,93853
Kittitas,8403,489,2059,5262,593,28306,446,1496,7507,6477,2174,6515,3691,26364,10206,24887,24195,114,165,301,74,1201,1564,1828,50159,41470,41349,47285,51349,74702
Klickitat,1377,130,755,397,95,17119,685,1124,4568,3754,1717,2950,2321,15310,5271,15137,14341,58,186,131,64,555,988,1679,46517,30063,29984,45139,57068,82977
Lewis,6148,1105,2426,2399,218,58732,2038,4132,17827,15978,7153,7495,4109,52562,11604,51843,50471,413,456,590,147,1195,4088,4321,44788,30685,40035,44491,54674,77426
Lincoln,739,90,266,349,34,7879,135,460,2117,2375,979,1207,606,7284,1813,7286,7207,49,135,81,31,99,198,221,45387,38319,40625,45421,49722,75750
Mason,4742,1116,2096,1265,265,48525,1309,3297,14674,12770,6070,6510,3895,43919,10405,41277,40464,586,874,565,165,1893,3165,3407,49578,32597,40306,50308,64601,75084
Okanogan,2815,524,1333,849,109,29871,2044,2134,8854,6843,3232,4140,2624,25693,6764,22023,21066,519,2261,196,20,2508,2344,4644,38093,27234,33610,40347,50953,67360
Pacific,1366,279,488,482,117,18446,594,1010,5450,5268,1750,3112,1262,16842,4374,15941,15536,100,255,354,11,844,941,1321,42864,30399,38873,42784,55392,54333
Pend Oreille,1010,177,473,239,121,9958,140,514,3195,2858,1111,1409,731,9304,2140,8921,8852,0,248,85,3,195,506,303,40538,36250,38105,36908,72000,71458
Pierce,84690,11232,33097,32570,7791,622204,16112,31435,163980,155802,72468,117242,65165,574657,182407,449008,429746,43415,6583,45068,8883,18340,50907,54936,56057,38347,46333,52445,70399,90745
